location,Paris,Paris,Paris,Paris
lat,48.86489,48.86489,48.86489,48.86489
lon,2.36968,2.36968,2.36968,2.36968
asl,55.289,55.289,55.289,55.289
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Paris Temperature [2 m elevation corrected],Paris Relative Humidity [2 m],Paris Wind Speed [10 m],Paris Wind Direction [10 m]
20210207T0000,8.186377,95.0,14.003028,316.04163
20210207T0100,7.7263765,94.0,15.986593,305.83765
20210207T0200,7.446377,94.0,16.489416,306.11932
20210207T0300,6.886377,94.0,16.746773,295.46335
20210207T0400,6.116377,93.0,19.242327,287.41797
20210207T0500,5.9163766,90.0,22.26477,284.03625
20210207T0600,5.5863767,88.0,22.007162,273.75174
20210207T0700,4.6263766,89.0,22.805367,258.15793
20210207T0800,3.8563764,89.0,24.216522,258.85712
20210207T0900,3.8463764,87.0,21.862406,252.75854
20210207T1000,4.1863766,86.0,19.829433,254.1975
20210207T1100,4.4963765,86.0,16.199999,270.0
20210207T1200,4.616377,80.0,14.264361,280.1755
20210207T1300,3.0963764,74.0,17.418196,288.0605
20210207T1400,3.8663764,74.0,14.799459,288.43494
20210207T1500,3.1463764,71.0,21.068459,289.98312
20210207T1600,2.4763765,70.0,20.393293,290.67444
20210207T1700,1.7363765,70.0,19.05281,292.2035
20210207T1800,1.1563766,71.0,17.58481,292.89056
20210207T1900,0.5163765,71.0,16.981165,291.12473
20210207T2000,-0.013623498,74.0,15.484185,287.59244
20210207T2100,-0.3736235,74.0,13.708391,283.67133
20210207T2200,-0.5836235,76.0,11.367109,280.95407
20210207T2300,-0.6536235,80.0,9.779817,276.34018
20210208T0000,-0.7336235,86.0,6.4799995,270.0
20210208T0100,-0.043623492,85.0,3.4152596,251.56506
20210208T0200,0.30637652,85.0,1.609969,116.56505
20210208T0300,-0.5236235,90.0,7.69592,79.2157
20210208T0400,-0.57362354,88.0,12.397806,64.17901
20210208T0500,-0.8036235,87.0,14.904173,52.853302
20210208T0600,-0.99362355,86.0,15.30741,48.81407
20210208T0700,-1.1236235,85.0,16.363178,50.35582
20210208T0800,-1.3636235,85.0,18.335276,46.591125
20210208T0900,-1.2636235,81.0,19.174856,39.66783
20210208T1000,-0.45362353,78.0,20.674156,35.073746
20210208T1100,0.9763765,78.0,19.513195,37.504135
20210208T1200,2.2163765,74.0,13.32,89.99999
20210208T1300,1.2863766,59.0,10.805998,330.01837
20210208T1400,2.0263765,58.0,11.966953,338.83875
20210208T1500,2.4763765,58.0,13.202726,348.99646
20210208T1600,2.6563764,59.0,13.202726,348.99646
20210208T1700,2.5463765,60.0,12.074766,349.69516
20210208T1800,2.3263764,63.0,10.587917,342.18112
20210208T1900,2.1363764,70.0,8.209263,322.12503
20210208T2000,1.3563765,80.0,11.298495,329.34933
20210208T2100,0.5063765,83.0,23.358425,24.590103
20210208T2200,-1.4736234,83.0,34.449196,34.354324
20210208T2300,-2.7536235,83.0,34.524357,39.499588
20210209T0000,-3.0336235,80.0,30.886656,40.746155
20210209T0100,-3.3936236,80.0,26.14403,38.290146
20210209T0200,-3.3136237,79.0,23.773632,32.005356
20210209T0300,-3.4636235,79.0,22.59699,22.479431
20210209T0400,-3.5536237,82.0,21.749481,12.425919
20210209T0500,-3.5936236,82.0,21.434364,7.721817
20210209T0600,-3.5536237,80.0,19.881649,5.194412
20210209T0700,-3.6536236,80.0,17.731598,5.8263397
20210209T0800,-3.7736235,80.0,13.684735,1.507431
20210209T0900,-3.4836235,79.0,9.255571,13.495728
20210209T1000,-0.5036235,65.0,3.7585104,73.30075
20210209T1100,0.6263765,60.0,5.495161,121.6075
20210209T1200,1.0863765,60.0,6.6185193,112.380135
20210209T1300,-1.4436234,62.0,8.891344,68.62937
20210209T1400,-0.5936235,61.0,10.365251,69.67686
20210209T1500,0.1463765,59.0,10.931203,72.75854
20210209T1600,0.6263765,58.0,12.758432,73.61045
20210209T1700,0.9563765,58.0,14.05845,76.67547
20210209T1800,0.67637646,62.0,13.450708,74.47588
20210209T1900,0.6363765,65.0,14.917212,70.25316
20210209T2000,0.5163765,67.0,16.279802,71.965706
20210209T2100,0.5063765,70.0,19.008547,65.37643
20210209T2200,0.41637653,71.0,23.532547,60.689995
20210209T2300,-0.6236235,67.0,23.773632,57.994614
20210210T0000,-0.64362353,70.0,23.993399,62.281494
20210210T0100,-0.34362352,69.0,26.299719,70.820984
20210210T0200,-1.1636235,68.0,26.00486,68.0513
20210210T0300,-1.5536234,67.0,25.12016,64.53666
20210210T0400,-2.0536237,64.0,25.603062,62.354027
20210210T0500,-2.6836236,66.0,27.579382,54.027603
20210210T0600,-2.7836235,62.0,27.333935,49.807953
20210210T0700,-3.0936236,60.0,27.267473,47.67543
20210210T0800,-3.2936237,56.0,27.381308,50.869583
20210210T0900,-3.2436235,54.0,27.217524,52.52382
20210210T1000,-2.7336235,52.0,28.449112,51.67987
20210210T1100,-2.2036235,50.0,28.394392,50.65947
20210210T1200,-1.6036235,49.0,28.775238,46.520767
20210210T1300,-0.6136235,50.0,23.507751,40.03026
20210210T1400,0.2963765,47.0,23.933908,43.781113
20210210T1500,0.7863765,48.0,22.961115,41.18593
20210210T1600,1.0763766,47.0,22.691423,41.7845
20210210T1700,0.7163765,49.0,22.45315,41.099487
20210210T1800,-0.18362351,54.0,20.188908,39.93637
20210210T1900,-0.82362354,59.0,19.174856,39.66783
20210210T2000,-1.3836235,63.0,19.61587,42.768814
20210210T2100,-1.8836235,66.0,19.35314,46.50743
20210210T2200,-2.1936235,67.0,18.899143,49.635452
20210210T2300,-2.3536236,69.0,18.289274,53.806786
20210211T0000,-2.4136236,72.0,17.57744,55.007973
20210211T0100,-2.5236235,76.0,16.87398,56.30993
20210211T0200,-2.5936236,78.0,16.299694,59.4703
20210211T0300,-2.7036235,78.0,15.0038395,59.74356
20210211T0400,-2.8736236,79.0,14.512064,60.25511
20210211T0500,-3.0836236,80.0,14.658676,65.323135
20210211T0600,-3.2636235,81.0,14.003029,72.03086
20210211T0700,-3.4436235,82.0,12.9249525,77.12499
20210211T0800,-3.6736236,83.0,12.371645,81.63411
20210211T0900,-3.2236235,80.0,13.004921,85.23635
20210211T1000,-2.1536236,73.0,13.684735,88.49257
20210211T1100,-1.0236235,61.0,18.228943,99.09027
20210211T1200,-0.0036235005,51.0,19.914217,102.52881
20210211T1300,0.6563765,46.0,21.322214,101.68936
20210211T1400,1.0063765,45.0,21.479666,103.570435
20210211T1500,1.1063765,46.0,21.566975,104.50017
20210211T1600,0.9963765,48.0,21.129883,103.799484
20210211T1700,0.47637647,50.0,21.829777,103.348724
20210211T1800,-0.3136235,51.0,20.431387,104.2811
20210211T1900,-0.8436235,53.0,20.345573,103.29857
20210211T2000,-1.3136234,56.0,23.688984,106.78264
20210211T2100,-1.7136234,58.0,25.161398,109.21267
20210211T2200,-2.1236236,60.0,25.38702,108.17802
20210211T2300,-2.2936237,61.0,24.590923,107.90444
20210212T0000,-2.4336236,61.0,25.171696,106.62075
20210212T0100,-2.3536236,58.0,25.49908,103.055244
20210212T0200,-2.2536235,56.0,25.14852,103.24051
20210212T0300,-2.1936235,52.0,26.124195,101.92932
20210212T0400,-2.2936237,49.0,28.054604,98.857956
20210212T0500,-2.4736235,49.0,27.908709,96.66666
20210212T0600,-2.5636237,51.0,26.758923,95.40378
20210212T0700,-2.5836236,54.0,27.757376,92.973724
20210212T0800,-2.4936235,55.0,28.820242,92.14758
20210212T0900,-2.2336235,54.0,28.802248,90.71616
20210212T1000,-1.4036235,52.0,29.162226,90.70731
20210212T1100,-0.5836235,48.0,29.179993,87.8789
20210212T1200,0.23637651,45.0,28.162956,85.60129
20210212T1300,1.5963765,49.0,25.86494,81.1932
20210212T1400,2.0463765,47.0,25.699057,78.69006
20210212T1500,2.1963763,48.0,26.019806,75.57923
20210212T1600,2.2363765,47.0,25.516865,73.61045
20210212T1700,1.7663765,48.0,24.590923,72.09556
20210212T1800,0.7063765,50.0,23.000591,72.69947
20210212T1900,-0.07362349,52.0,21.862406,72.75854
20210212T2000,-0.6536235,55.0,21.659918,74.577835
20210212T2100,-1.0536234,57.0,22.101183,77.77487
20210212T2200,-1.4436234,59.0,22.314192,79.77783
20210212T2300,-1.7636235,59.0,22.19773,81.60706
20210213T0000,-2.0436237,60.0,22.608458,80.83765
